"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"DDD","2014J","2716795","F","London Region","A Level or Equivalent","50-60%","0-35","0","120","N","Withdrawn"
"EEE","2013J","26915","M","Wales","Lower Than A Level","0-10%","35-55","0","30","N","Fail"
"EEE","2013J","32553","M","North Western Region","A Level or Equivalent","60-70%","0-35","0","60","N","Withdrawn"
"EEE","2013J","35355","M","Wales","Lower Than A Level","0-10%","35-55","0","30","N","Pass"
"EEE","2013J","40508","M","West Midlands Region","A Level or Equivalent","40-50%","35-55","0","90","N","Withdrawn"
"EEE","2013J","42638","M","Scotland","HE Qualification","90-100%","35-55","0","60","N","Pass"
"EEE","2013J","43564","M","Scotland","HE Qualification","80-90%","35-55","0","60","N","Pass"
"EEE","2013J","54062","M","East Anglian Region","A Level or Equivalent","30-40%","0-35","0","30","N","Distinction"
"EEE","2013J","63112","M","South East Region","Lower Than A Level","80-90%","35-55","0","60","N","Pass"
"EEE","2013J","66713","M","South Region","A Level or Equivalent","90-100%","0-35","0","60","N","Pass"
"EEE","2013J","70214","M","Wales","Lower Than A Level","70-80%","0-35","0","120","N","Pass"
"EEE","2013J","76579","F","Yorkshire Region","HE Qualification","10-20","0-35","0","60","N","Withdrawn"
"EEE","2013J","88568","M","North Western Region","HE Qualification","70-80%","35-55","0","30","N","Pass"
"EEE","2013J","96873","M","North Western Region","A Level or Equivalent","70-80%","0-35","0","30","N","Fail"
"EEE","2013J","100758","F","London Region","A Level or Equivalent","10-20","0-35","0","150","N","Withdrawn"
"EEE","2013J","101414","M","Yorkshire Region","Lower Than A Level","70-80%","35-55","0","105","N","Withdrawn"
"EEE","2013J","105168","M","Scotland","HE Qualification","70-80%","0-35","0","90","N","Fail"
"EEE","2013J","107339","F","Scotland","HE Qualification","10-20","0-35","0","60","N","Distinction"
"EEE","2013J","110461","M","Scotland","HE Qualification","10-20","0-35","0","80","N","Withdrawn"
"EEE","2013J","111383","M","London Region","Lower Than A Level","50-60%","35-55","0","60","N","Withdrawn"
"EEE","2013J","113698","M","South West Region","Lower Than A Level","60-70%","0-35","0","30","N","Fail"
"EEE","2013J","113824","M","East Anglian Region","Lower Than A Level","90-100%","0-35","0","120","Y","Fail"
"EEE","2013J","117197","F","South Region","A Level or Equivalent","40-50%","0-35","0","130","N","Pass"
"EEE","2013J","125619","M","East Anglian Region","Lower Than A Level","30-40%","0-35","0","60","Y","Withdrawn"
"EEE","2013J","126337","M","West Midlands Region","Lower Than A Level","20-30%","0-35","0","90","N","Withdrawn"
"EEE","2013J","128929","F","North Region","A Level or Equivalent","10-20","0-35","0","145","N","Distinction"
"EEE","2013J","132123","M","South East Region","HE Qualification","90-100%","0-35","0","60","N","Pass"
"EEE","2013J","134982","M","Wales","Lower Than A Level","90-100%","0-35","0","60","N","Pass"
"EEE","2013J","140060","M","West Midlands Region","A Level or Equivalent","90-100%","35-55","0","50","N","Distinction"
"EEE","2013J","140518","M","West Midlands Region","Lower Than A Level","80-90%","0-35","0","60","N","Fail"
"EEE","2013J","141301","M","West Midlands Region","Lower Than A Level","10-20","0-35","0","150","N","Withdrawn"
"EEE","2013J","143711","M","East Anglian Region","A Level or Equivalent","50-60%","0-35","0","60","N","Distinction"
"EEE","2013J","144448","M","North Western Region","Lower Than A Level","30-40%","35-55","0","110","N","Distinction"
"EEE","2013J","146125","M","Yorkshire Region","Lower Than A Level","80-90%","0-35","0","60","N","Withdrawn"
"EEE","2013J","146974","F","London Region","A Level or Equivalent","10-20","0-35","0","90","N","Pass"
"EEE","2013J","153788","M","North Western Region","No Formal quals","20-30%","0-35","0","60","N","Fail"
"EEE","2013J","160536","F","South Region","Lower Than A Level","30-40%","0-35","0","180","Y","Pass"
"EEE","2013J","164968","M","Scotland","HE Qualification","90-100%","0-35","0","45","N","Pass"
"EEE","2013J","165509","M","Yorkshire Region","A Level or Equivalent","0-10%","0-35","0","90","N","Pass"
"EEE","2013J","171107","F","West Midlands Region","A Level or Equivalent","10-20","0-35","0","270","Y","Withdrawn"
"EEE","2013J","173710","M","East Anglian Region","HE Qualification","80-90%","35-55","0","90","N","Distinction"
"EEE","2013J","173834","F","West Midlands Region","HE Qualification","90-100%","35-55","0","30","N","Pass"
"EEE","2013J","174010","M","East Midlands Region","Lower Than A Level","10-20","0-35","0","30","N","Fail"
"EEE","2013J","176086","M","Wales","Lower Than A Level","20-30%","0-35","0","30","N","Fail"
"EEE","2013J","188273","F","East Anglian Region","A Level or Equivalent","10-20","0-35","0","60","N","Pass"
"EEE","2013J","189629","F","West Midlands Region","A Level or Equivalent","20-30%","0-35","0","30","Y","Pass"
"EEE","2013J","191000","M","Scotland","Post Graduate Qualification","80-90%","0-35","0","60","N","Withdrawn"
