"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"924967","DDD","2014J","forumng","",""
"551055","EEE","2013J","oucontent","",""
"551126","EEE","2013J","resource","",""
"551171","EEE","2013J","subpage","",""
"551015","EEE","2013J","forumng","",""
"551052","EEE","2013J","oucontent","22","22"
"551123","EEE","2013J","resource","",""
"551168","EEE","2013J","subpage","",""
"551012","EEE","2013J","forumng","",""
"551049","EEE","2013J","oucontent","",""
"551120","EEE","2013J","resource","",""
"551163","EEE","2013J","url","",""
"551078","EEE","2013J","quiz","",""
"551160","EEE","2013J","url","",""
"551046","EEE","2013J","oucontent","",""
"551075","EEE","2013J","page","",""
"551148","EEE","2013J","resource","",""
"551155","EEE","2013J","resource","",""
"551043","EEE","2013J","oucontent","25","25"
"551072","EEE","2013J","ouwiki","",""
"551144","EEE","2013J","resource","",""
"551151","EEE","2013J","resource","",""
"551039","EEE","2013J","oucontent","19","19"
"551069","EEE","2013J","oucontent","",""
"551141","EEE","2013J","resource","",""
"551036","EEE","2013J","oucontent","",""
"551066","EEE","2013J","oucontent","2","2"
"551137","EEE","2013J","resource","",""
"551032","EEE","2013J","oucontent","13","13"
"551063","EEE","2013J","oucontent","",""
"551134","EEE","2013J","resource","",""
"551028","EEE","2013J","oucontent","26","26"
"551060","EEE","2013J","oucontent","10","10"
"551131","EEE","2013J","resource","",""
"551024","EEE","2013J","oucontent","7","7"
"551057","EEE","2013J","oucontent","",""
"551128","EEE","2013J","resource","",""
"551173","EEE","2013J","subpage","",""
"551020","EEE","2013J","oucontent","",""
"551054","EEE","2013J","oucontent","",""
"551125","EEE","2013J","resource","",""
"551170","EEE","2013J","subpage","",""
"551014","EEE","2013J","forumng","",""
"551051","EEE","2013J","oucontent","",""
"551122","EEE","2013J","resource","",""
"551167","EEE","2013J","subpage","",""
"551011","EEE","2013J","forumng","",""
"551048","EEE","2013J","oucontent","3","3"
"551119","EEE","2013J","resource","",""
"551162","EEE","2013J","url","",""
"551077","EEE","2013J","page","",""
"551159","EEE","2013J","url","",""
"551045","EEE","2013J","oucontent","6","6"
"551074","EEE","2013J","page","",""
"551147","EEE","2013J","resource","",""
"551154","EEE","2013J","resource","",""
"551041","EEE","2013J","oucontent","18","18"
"551071","EEE","2013J","oucontent","",""
"551143","EEE","2013J","resource","",""
"551150","EEE","2013J","resource","",""
"551038","EEE","2013J","oucontent","17","17"
"551068","EEE","2013J","oucontent","14","14"
"551140","EEE","2013J","resource","",""
"551035","EEE","2013J","oucontent","23","23"
"551065","EEE","2013J","oucontent","1","1"
"551136","EEE","2013J","resource","",""
"551031","EEE","2013J","oucontent","12","12"
"551062","EEE","2013J","oucontent","27","27"
"551133","EEE","2013J","resource","",""
"551027","EEE","2013J","oucontent","9","9"
"551059","EEE","2013J","oucontent","",""
"551130","EEE","2013J","resource","",""
"551177","EEE","2013J","dualpane","",""
"551023","EEE","2013J","oucontent","",""
"551056","EEE","2013J","oucontent","15","15"
"551127","EEE","2013J","resource","",""
"551172","EEE","2013J","subpage","",""
"551019","EEE","2013J","oucontent","",""
"551053","EEE","2013J","oucontent","1","1"
"551124","EEE","2013J","resource","",""
"551169","EEE","2013J","subpage","",""
"551013","EEE","2013J","forumng","",""
"551050","EEE","2013J","oucontent","5","5"
"551121","EEE","2013J","resource","",""
"551166","EEE","2013J","url","",""
"551010","EEE","2013J","homepage","",""
"551079","EEE","2013J","quiz","",""
"551161","EEE","2013J","url","",""
"551047","EEE","2013J","oucontent","",""
"551076","EEE","2013J","page","",""
"551149","EEE","2013J","resource","",""
"551158","EEE","2013J","url","",""
"551044","EEE","2013J","oucontent","",""
"551073","EEE","2013J","ouwiki","",""
"551145","EEE","2013J","resource","",""
"551152","EEE","2013J","resource","",""
"551040","EEE","2013J","oucontent","",""
"551070","EEE","2013J","oucontent","11","11"
"551142","EEE","2013J","resource","",""
"551037","EEE","2013J","oucontent","24","24"
"551067","EEE","2013J","oucontent","4","4"
"551139","EEE","2013J","resource","",""
"551033","EEE","2013J","oucontent","",""
"551064","EEE","2013J","oucontent","",""
"551135","EEE","2013J","resource","",""
"551029","EEE","2013J","oucontent","",""
"551061","EEE","2013J","oucontent","8","8"
"551132","EEE","2013J","resource","",""
"551026","EEE","2013J","oucontent","",""
"551058","EEE","2013J","oucontent","",""
"551129","EEE","2013J","resource","",""
"551175","EEE","2013J","oucollaborate","",""
"551021","EEE","2013J","oucontent","20","20"
"790923","EEE","2014B","subpage","",""
