"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"913526","BBB","2014J","oucontent","",""
"730032","CCC","2014B","subpage","",""
"730068","CCC","2014B","resource","",""
"729677","CCC","2014B","forumng","",""
"730100","CCC","2014B","resource","",""
"729804","CCC","2014B","oucontent","",""
"923834","CCC","2014B","forumng","",""
"729838","CCC","2014B","oucontent","",""
"730029","CCC","2014B","subpage","",""
"730065","CCC","2014B","resource","",""
"729673","CCC","2014B","forumng","",""
"730097","CCC","2014B","resource","",""
"729801","CCC","2014B","oucontent","",""
"730133","CCC","2014B","url","",""
"729835","CCC","2014B","oucontent","",""
"730025","CCC","2014B","subpage","",""
"730062","CCC","2014B","resource","",""
"730094","CCC","2014B","resource","",""
"729798","CCC","2014B","oucontent","",""
"730127","CCC","2014B","url","",""
"729831","CCC","2014B","oucontent","",""
"730022","CCC","2014B","subpage","",""
"730059","CCC","2014B","resource","",""
"730091","CCC","2014B","resource","",""
"729795","CCC","2014B","page","",""
"730124","CCC","2014B","url","",""
"729828","CCC","2014B","oucontent","",""
"730019","CCC","2014B","subpage","",""
"730053","CCC","2014B","resource","",""
"730088","CCC","2014B","resource","",""
"729792","CCC","2014B","quiz","",""
"730121","CCC","2014B","url","",""
"729825","CCC","2014B","oucontent","",""
"730016","CCC","2014B","subpage","",""
"730050","CCC","2014B","resource","",""
"730085","CCC","2014B","resource","",""
"729789","CCC","2014B","quiz","",""
"730117","CCC","2014B","resource","",""
"729822","CCC","2014B","oucontent","",""
"730013","CCC","2014B","subpage","",""
"730047","CCC","2014B","resource","",""
"730082","CCC","2014B","resource","",""
"729786","CCC","2014B","quiz","",""
"730114","CCC","2014B","resource","",""
"729819","CCC","2014B","oucontent","1","2"
"730010","CCC","2014B","subpage","",""
"730044","CCC","2014B","resource","",""
"730079","CCC","2014B","resource","",""
"729783","CCC","2014B","quiz","",""
"730111","CCC","2014B","resource","",""
"729816","CCC","2014B","oucontent","",""
"730006","CCC","2014B","subpage","",""
"730041","CCC","2014B","resource","",""
"730076","CCC","2014B","resource","",""
"729780","CCC","2014B","quiz","",""
"730108","CCC","2014B","resource","",""
"729812","CCC","2014B","oucontent","",""
"729843","CCC","2014B","oucontent","",""
"730038","CCC","2014B","resource","",""
"730073","CCC","2014B","resource","",""
"729779","CCC","2014B","quiz","",""
"730105","CCC","2014B","resource","",""
"729809","CCC","2014B","oucontent","",""
"729840","CCC","2014B","oucontent","",""
"730034","CCC","2014B","subpage","",""
"730070","CCC","2014B","resource","",""
"729680","CCC","2014B","forumng","",""
"730102","CCC","2014B","resource","",""
"729806","CCC","2014B","oucontent","",""
"730031","CCC","2014B","subpage","",""
"730067","CCC","2014B","resource","",""
"729676","CCC","2014B","forumng","",""
"730099","CCC","2014B","resource","",""
"729803","CCC","2014B","oucontent","",""
"730135","CCC","2014B","url","",""
"729837","CCC","2014B","oucontent","",""
"730028","CCC","2014B","subpage","",""
"730064","CCC","2014B","resource","",""
"729671","CCC","2014B","homepage","",""
"730096","CCC","2014B","resource","",""
"729800","CCC","2014B","oucontent","",""
"730132","CCC","2014B","url","",""
"729834","CCC","2014B","oucontent","",""
"730024","CCC","2014B","subpage","",""
"730061","CCC","2014B","resource","",""
"730093","CCC","2014B","resource","",""
