"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"FFF","2013J","2698125","M","North Region","Lower Than A Level","70-80%","0-35","0","60","N","Pass"
"FFF","2014B","26211","F","London Region","HE Qualification","20-30%","35-55","0","90","N","Pass"
"FFF","2014B","26269","M","Yorkshire Region","Lower Than A Level","0-10%","35-55","0","60","N","Withdrawn"
"FFF","2014B","27189","F","South Region","Lower Than A Level","10-20","35-55","0","120","N","Fail"
"FFF","2014B","27683","M","London Region","HE Qualification","30-40%","0-35","0","60","N","Pass"
"FFF","2014B","28808","F","South Region","A Level or Equivalent","90-100%","0-35","0","60","N","Fail"
"FFF","2014B","28897","M","South West Region","A Level or Equivalent","10-20","0-35","0","120","N","Distinction"
"FFF","2014B","30531","M","East Anglian Region","Lower Than A Level","50-60%","0-35","1","180","N","Fail"
"FFF","2014B","33600","F","London Region","A Level or Equivalent","40-50%","35-55","1","150","N","Withdrawn"
"FFF","2014B","34293","M","West Midlands Region","Lower Than A Level","60-70%","0-35","0","60","Y","Withdrawn"
"FFF","2014B","36347","M","North Western Region","Lower Than A Level","10-20","0-35","0","120","N","Pass"
"FFF","2014B","39882","F","Scotland","A Level or Equivalent","80-90%","0-35","1","120","N","Pass"
"FFF","2014B","41489","F","East Anglian Region","Lower Than A Level","20-30%","0-35","0","60","N","Fail"
"FFF","2014B","42746","F","South Region","HE Qualification","50-60%","35-55","0","60","N","Distinction"
"FFF","2014B","46148","M","North Western Region","A Level or Equivalent","10-20","35-55","0","60","N","Pass"
"FFF","2014B","48635","M","South Region","HE Qualification","90-100%","0-35","0","60","N","Pass"
"FFF","2014B","53136","F","London Region","A Level or Equivalent","30-40%","0-35","1","120","N","Pass"
"FFF","2014B","53709","M","Wales","A Level or Equivalent","30-40%","0-35","1","60","N","Pass"
"FFF","2014B","54867","F","South West Region","Lower Than A Level","20-30%","0-35","0","120","N","Fail"
"FFF","2014B","58221","M","East Midlands Region","Lower Than A Level","40-50%","0-35","0","120","N","Withdrawn"
"FFF","2014B","63958","M","South Region","Lower Than A Level","10-20","0-35","0","60","N","Fail"
"FFF","2014B","67986","F","Scotland","Lower Than A Level","80-90%","0-35","0","60","N","Withdrawn"
"FFF","2014B","72114","M","North Region","A Level or Equivalent","40-50%","0-35","1","120","Y","Pass"
"FFF","2014B","74521","M","North Region","HE Qualification","0-10%","35-55","0","120","N","Pass"
"FFF","2014B","74524","F","East Midlands Region","Lower Than A Level","70-80%","35-55","0","120","Y","Fail"
"FFF","2014B","77845","M","East Midlands Region","A Level or Equivalent","30-40%","0-35","0","120","N","Fail"
"FFF","2014B","77998","M","Ireland","Lower Than A Level","","35-55","2","90","N","Pass"
"FFF","2014B","79683","M","Wales","A Level or Equivalent","30-40%","0-35","0","60","Y","Withdrawn"
"FFF","2014B","81216","M","South Region","Lower Than A Level","10-20","0-35","0","60","N","Withdrawn"
"FFF","2014B","82201","F","London Region","Lower Than A Level","50-60%","0-35","0","60","N","Withdrawn"
"FFF","2014B","83603","M","London Region","A Level or Equivalent","60-70%","35-55","0","60","N","Pass"
"FFF","2014B","84299","M","London Region","A Level or Equivalent","20-30%","0-35","0","120","N","Pass"
