"id_site","code_module","code_presentation","activity_type","week_from","week_to"
"779436","FFF","2014B","oucontent","29","29"
"779649","FFF","2014B","subpage","",""
"779814","FFF","2014B","url","28","28"
"779072","FFF","2014B","forumng","",""
"779481","FFF","2014B","resource","",""
"779684","FFF","2014B","oucollaborate","",""
"779331","FFF","2014B","oucontent","",""
"779524","FFF","2014B","resource","13","13"
"779717","FFF","2014B","url","",""
"779366","FFF","2014B","oucontent","22","22"
"779564","FFF","2014B","resource","",""
"779750","FFF","2014B","url","18","18"
"779399","FFF","2014B","oucontent","29","29"
"779614","FFF","2014B","resource","",""
"779782","FFF","2014B","url","22","22"
"779431","FFF","2014B","oucontent","",""
"779645","FFF","2014B","subpage","29","29"
"779811","FFF","2014B","url","18","18"
"779477","FFF","2014B","resource","",""
"779681","FFF","2014B","dataplus","",""
"779281","FFF","2014B","questionnaire","20","20"
"779521","FFF","2014B","resource","",""
"779714","FFF","2014B","url","",""
"779363","FFF","2014B","oucontent","8","8"
"779561","FFF","2014B","resource","",""
"779747","FFF","2014B","url","18","18"
"779396","FFF","2014B","oucontent","9","9"
"779610","FFF","2014B","resource","",""
"779779","FFF","2014B","url","22","22"
"779428","FFF","2014B","oucontent","29","29"
"779642","FFF","2014B","subpage","26","26"
"779808","FFF","2014B","url","28","28"
"779474","FFF","2014B","page","",""
"779677","FFF","2014B","dataplus","",""
"779278","FFF","2014B","questionnaire","5","5"
"779516","FFF","2014B","resource","",""
"779711","FFF","2014B","url","",""
"779360","FFF","2014B","oucontent","29","29"
"779558","FFF","2014B","resource","",""
"779744","FFF","2014B","url","15","15"
"779393","FFF","2014B","oucontent","15","15"
"779607","FFF","2014B","resource","",""
"779776","FFF","2014B","url","21","21"
"779639","FFF","2014B","subpage","22","22"
"779805","FFF","2014B","url","28","28"
"779465","FFF","2014B","page","19","19"
"779674","FFF","2014B","subpage","13","13"
"779275","FFF","2014B","questionnaire","19","19"
"779513","FFF","2014B","resource","",""
"779708","FFF","2014B","url","",""
"779357","FFF","2014B","oucontent","9","9"
"779555","FFF","2014B","resource","",""
"779741","FFF","2014B","url","14","14"
"779390","FFF","2014B","oucontent","16","16"
"779595","FFF","2014B","resource","",""
"779773","FFF","2014B","url","21","21"
"779424","FFF","2014B","oucontent","29","29"
"779636","FFF","2014B","subpage","18","18"
"779802","FFF","2014B","url","27","27"
"779462","FFF","2014B","page","12","12"
"779671","FFF","2014B","subpage","",""
"779840","FFF","2014B","dualpane","5","5"
"779272","FFF","2014B","questionnaire","25","25"
"779510","FFF","2014B","resource","",""
"779705","FFF","2014B","url","",""
"779354","FFF","2014B","oucontent","18","18"
"779552","FFF","2014B","resource","18","18"
"779737","FFF","2014B","url","12","12"
"779387","FFF","2014B","oucontent","2","2"
"779592","FFF","2014B","resource","",""
"779770","FFF","2014B","url","21","21"
"779421","FFF","2014B","oucontent","26","26"
"779633","FFF","2014B","subpage","14","14"
"779799","FFF","2014B","url","26","26"
"779459","FFF","2014B","page","",""
"779666","FFF","2014B","subpage","",""
"779834","FFF","2014B","url","",""
"779269","FFF","2014B","quiz","10","10"
"779501","FFF","2014B","resource","",""
"779507","FFF","2014B","resource","",""
"779702","FFF","2014B","url","",""
"779351","FFF","2014B","oucontent","7","7"
"779549","FFF","2014B","resource","18","18"
"779734","FFF","2014B","url","11","11"
"779384","FFF","2014B","oucontent","2","2"
"779589","FFF","2014B","resource","",""
"779767","FFF","2014B","url","21","21"
"779417","FFF","2014B","oucontent","15","15"
"779630","FFF","2014B","subpage","10","10"
"779796","FFF","2014B","url","25","25"
"779453","FFF","2014B","page","",""
"779663","FFF","2014B","subpage","",""
"779831","FFF","2014B","url","1","1"
"779266","FFF","2014B","quiz","10","10"
"779498","FFF","2014B","resource","",""
"779504","FFF","2014B","resource","",""
"779699","FFF","2014B","url","",""
