"code_module","code_presentation","id_student","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result"
"BBB","2014J","2698591","F","Wales","Lower Than A Level","90-100%","35-55","0","180","N","Withdrawn"
"CCC","2014B","28418","F","West Midlands Region","A Level or Equivalent","20-30%","0-35","0","30","N","Fail"
"CCC","2014B","29764","M","East Anglian Region","A Level or Equivalent","50-60%","0-35","0","90","N","Distinction"
"CCC","2014B","29820","M","East Anglian Region","HE Qualification","40-50%","0-35","0","60","N","Pass"
"CCC","2014B","40333","M","North Region","HE Qualification","0-10%","35-55","0","30","N","Withdrawn"
"CCC","2014B","40604","M","Ireland","A Level or Equivalent","","35-55","0","30","N","Pass"
"CCC","2014B","42638","M","Scotland","HE Qualification","90-100%","35-55","0","60","N","Pass"
"CCC","2014B","45664","M","Yorkshire Region","HE Qualification","60-70%","0-35","0","60","N","Withdrawn"
"CCC","2014B","46605","M","East Anglian Region","HE Qualification","60-70%","35-55","0","60","N","Distinction"
"CCC","2014B","49119","M","Ireland","HE Qualification","","0-35","0","90","N","Distinction"
"CCC","2014B","50263","M","West Midlands Region","HE Qualification","80-90%","35-55","0","60","N","Withdrawn"
"CCC","2014B","51576","F","London Region","Lower Than A Level","10-20","0-35","0","90","N","Withdrawn"
"CCC","2014B","54391","M","South West Region","Lower Than A Level","10-20","0-35","0","60","N","Withdrawn"
"CCC","2014B","57340","F","East Anglian Region","A Level or Equivalent","20-30%","0-35","0","120","N","Pass"
"CCC","2014B","59541","M","East Anglian Region","A Level or Equivalent","40-50%","0-35","0","30","Y","Withdrawn"
"CCC","2014B","62278","M","West Midlands Region","A Level or Equivalent","30-40%","0-35","0","40","N","Fail"
"CCC","2014B","64296","M","Scotland","HE Qualification","20-30%","0-35","0","60","N","Fail"
"CCC","2014B","66254","F","Ireland","A Level or Equivalent","","0-35","0","30","N","Fail"
"CCC","2014B","69489","M","South West Region","Lower Than A Level","80-90%","0-35","0","150","N","Withdrawn"
"CCC","2014B","69494","F","Yorkshire Region","No Formal quals","20-30%","0-35","0","80","N","Withdrawn"
"CCC","2014B","69703","M","Yorkshire Region","Lower Than A Level","20-30%","0-35","0","120","N","Pass"
"CCC","2014B","70381","M","Scotland","HE Qualification","30-40%","35-55","0","30","N","Pass"
"CCC","2014B","70771","M","Scotland","HE Qualification","40-50%","0-35","0","60","N","Withdrawn"
"CCC","2014B","74290","M","Scotland","Lower Than A Level","10-20","0-35","0","60","N","Withdrawn"
"CCC","2014B","75454","M","South West Region","A Level or Equivalent","80-90%","0-35","0","120","N","Pass"
"CCC","2014B","75469","M","East Midlands Region","A Level or Equivalent","80-90%","0-35","0","210","N","Withdrawn"
"CCC","2014B","75728","F","South West Region","HE Qualification","30-40%","35-55","0","30","N","Fail"
"CCC","2014B","79461","M","Scotland","A Level or Equivalent","70-80%","0-35","0","90","N","Withdrawn"
"CCC","2014B","80329","M","South Region","Lower Than A Level","80-90%","0-35","0","120","N","Withdrawn"
"CCC","2014B","82575","M","West Midlands Region","HE Qualification","80-90%","0-35","0","30","N","Distinction"
"CCC","2014B","83219","F","West Midlands Region","A Level or Equivalent","0-10%","0-35","0","60","N","Pass"
"CCC","2014B","83453","M","West Midlands Region","HE Qualification","40-50%","35-55","0","30","N","Withdrawn"
"CCC","2014B","84299","M","London Region","A Level or Equivalent","20-30%","0-35","0","120","N","Withdrawn"
"CCC","2014B","86047","F","Wales","HE Qualification","20-30%","0-35","0","30","N","Withdrawn"
"CCC","2014B","88758","M","North Region","Post Graduate Qualification","","35-55","0","330","N","Withdrawn"
"CCC","2014B","94484","M","West Midlands Region","Lower Than A Level","20-30%","35-55","0","120","Y","Pass"
"CCC","2014B","95906","F","East Midlands Region","A Level or Equivalent","50-60%","0-35","0","120","N","Pass"
"CCC","2014B","96538","M","North Region","Lower Than A Level","0-10%","0-35","0","60","N","Fail"
"CCC","2014B","97486","M","North Western Region","HE Qualification","70-80%","35-55","0","60","N","Withdrawn"
"CCC","2014B","100621","M","West Midlands Region","A Level or Equivalent","50-60%","35-55","0","60","N","Withdrawn"
"CCC","2014B","105523","M","Scotland","HE Qualification","60-70%","35-55","0","90","N","Pass"
"CCC","2014B","107028","M","East Midlands Region","Lower Than A Level","10-20","0-35","0","90","N","Withdrawn"
"CCC","2014B","107339","F","Scotland","HE Qualification","10-20","0-35","0","60","N","Pass"
"CCC","2014B","108834","M","West Midlands Region","A Level or Equivalent","10-20","0-35","0","90","N","Withdrawn"
"CCC","2014B","108947","M","Scotland","Lower Than A Level","0-10%","0-35","0","120","N","Withdrawn"
"CCC","2014B","116174","M","London Region","A Level or Equivalent","40-50%","35-55","0","90","N","Withdrawn"
"CCC","2014B","116518","M","London Region","HE Qualification","30-40%","0-35","0","80","N","Pass"
"CCC","2014B","117232","M","Ireland","A Level or Equivalent","20-30%","0-35","0","90","N","Pass"
"CCC","2014B","118098","M","East Midlands Region","HE Qualification","60-70%","0-35","0","30","N","Fail"
"CCC","2014B","119353","M","North Region","A Level or Equivalent","30-40%","35-55","0","90","N","Withdrawn"
"CCC","2014B","119729","M","East Anglian Region","HE Qualification","90-100%","35-55","0","30","N","Withdrawn"
"CCC","2014B","122392","M","London Region","A Level or Equivalent","10-20","35-55","0","60","N","Pass"
"CCC","2014B","123598","M","Scotland","A Level or Equivalent","50-60%","0-35","0","90","Y","Withdrawn"
"CCC","2014B","124124","F","Scotland","Lower Than A Level","20-30%","0-35","0","60","N","Withdrawn"
"CCC","2014B","124193","M","East Anglian Region","HE Qualification","40-50%","35-55","0","30","N","Distinction"
"CCC","2014B","126337","M","West Midlands Region","Lower Than A Level","20-30%","0-35","0","75","N","Withdrawn"
"CCC","2014B","126394","M","Wales","A Level or Equivalent","90-100%","0-35","0","120","N","Pass"
"CCC","2014B","126395","M","London Region","A Level or Equivalent","20-30%","0-35","0","30","Y","Pass"
"CCC","2014B","128510","F","Scotland","Lower Than A Level","50-60%","0-35","0","180","N","Withdrawn"
"CCC","2014B","129198","F","North Western Region","HE Qualification","20-30%","35-55","0","150","Y","Withdrawn"
